Bucket Number,Bucket
46,"congestion, congestion control, control, congestion control algorithm, control algorithm, congestion network, multiplicative, additive"
47,"congestion window, window, slow start, slow, congestion, cwnd, window size, ms"
48,"data link, data link layer, link layer, frame, layer, link, network layer, frame arrives"
49,"data center, center, data, data center network, center network, cloud, google, container"
50,"network layer network, layer network layer, layer network, network layer, layer, network, network network layer, network network"
51,"fragment, fragmentation, reassembly, fragment fragment, offset, fragmentation reassembly, packet fragment, fragment packet"
52,"cdma, cdma code, code division, code division multiple, division multiple access, division multiple, code, umts"
53,"playout, video, block, freezing, client, consumption rate, prefetching, begin playout"
54,"html, style, title, sheet, style sheet, tag, text, br"
55,"service, transport, transport service, layer, layer service, transport layer, network layer, layer provides"
56,"successor, node, finger, finger table, predecessor, node identifier, successor node, identifier"
57,"section section, section section section, section, noted section additional, section shortly, section value, contains helpful record, different section section"
58,"distance vector, neighbor, vector, distance, dv, distancevector, dv algorithm, update"
59,"rtp, rtsp, rtcp, rtp packet, udp, rtp header, protocol rtp, real time"
60,"frame, frame length, column, us column, frame frame, format data, sonet frame, frame format"
61,"fdm, multiplexing, division, division multiplexing, frequency division, tdm, frequency division multiplexing, ofdm"
62,"blah, iv blah blah, iv blah, fine iv blah, fine iv, blah mod, blah blah mod, blah blah"
63,"technology, industry, growth, innovation, company, technical, history, economic"
64,"example figure, figure, figure example figure, figure example, example figure example, figure consider, example, refer figure"
65,"snr, modulation, noise, ratio, qam, ber, noise ratio, db"
66,"certificate, ca, revoked, ra, root, revocation, approved, certificate revoked"
67,"header, ip header, ipv, ipv header, field, header field, option, header ipv"
68,"wireless, wireless network, wireless link, network wireless, wireless network wireless, type wireless network, wifi, type wireless"
69,"clock, get sends, sends get sends, sends get, get sends get, tick, get, clock tick"
70,"network network, network network network, network, cw net, cw, ee network, consider network shown, consider network"
71,"transportlayer segment, transportlayer, segment, transport layer, layer, network layer, segment transport, datagram"
72,"window, window size, sliding window, sliding, size, sliding window protocol, window protocol, receiver window"
73,"ipv, ipv ipv, ipv address, ip version, version ip, ipv bit, ipv protocol, adoption"
74,"bgp, ebgp, ibgp, gateway, gateway router, bgp routing, gateway protocol, ebgp connection"
75,"bank, credit, credit card, card, credit card number, card number, account, customer"
76,"ospf, routing, routing protocol, linkstate, ospf routing, protocol ospf, routing algorithm, weight"
77,"lan, lan lan, lan lan lan, lan figure, building, switched lan, soho, lan host"
78,"mobile, mobile host, mobile ip, mobile node, indirect, foreign network, indirect routing, foreign"
79,"application layer, layer application, application layer application, layer application layer, application, layer, application layer contains, network layer application"
80,"propagation, propagation delay, delay, propagation speed, transmission delay, speed, transmission, packet length"
81,"standard, international, standardization, iso, international standard, standard standard, itu, standard organization"
82,"collision, detect collision, collide, node, collision node, colliding, involved collision, detects collision"
83,"figure figure, figure figure figure, figure, figure let figure, figure iv figure, figure figure nonetheless, figure figure let, figure figure iv"
84,"transport layer, transport layer transport, layer transport, transport, layer transport layer, layer, transfer person, bag accomplished"
85,"delay, average, estimate, average delay, internet delay, delay delay, delay let, total delay"
86,"network urity, urity, urity network, urity network urity, network urity network, network, casual network urity, making network ure"
87,"network fig, network shown, graph, network figure, consider network, figure, fig, wan"
88,"send packet, packet, packet sends packet, packet sends, sends packet sends, sends packet, send, sending packet"
89,"netflix, cdn, video, kankan, amazon, movie, streaming, amazon cloud"
90,"figure shown figure, figure shown, shown figure shown, shown figure, shown, figure, indicated figure shown, manner shown figure"
91,"xor, mod, arithmetic, modulo, remainder, modular arithmetic, fi, modular"
92,"rtt, rtts, congestion window, increase, ms rtt, time rtt, window, ms"
93,"rdt, protocol rdt, rdt protocol, rdtsend, rdtsenddata, data transfer, reliable data transfer, reliable data"
94,"lost, duplicate, lost packet, packet lost, duplicate packet, packet, delayed, delayed duplicate"
95,"streaming, medium, stored, video, stored medium, streaming stored, http streaming, streaming stored medium"
96,"bluetooth, bluetooth bluetooth, bluetooth protocol, bluetooth network, radio layer, bluetooth device, device, slave"
97,"dhcp, dhcp server, dhcp discover, dhcp client, lease, discover message, discover, dhcp request message"
98,"mpls, mpls header, mpls network, ip packet, ip, network mpls, mplscapable, ip device"
99,"bittorrent, torrent, peer, tracker, cohen, swarm, chunk, peer peer"
100,"nonpersistent, persistent, persistent connection, parallel, request, connection, nonpersistent http, http"
101,"vlan, vlans, vlan aware, switch, vlan switch, aware, port, port belong"
102,"flag, flag byte, stuffing, byte, bit stuffing, byte stuffing, escape byte, escape"
103,"ap, aps, wireless device, beacon, beacon frame, associate, device, wireless"
104,"wfq, priority, robin, round robin, queueing, queue, class, weighted fair"
105,"year, tom, tenure, government, wilson, candidate, tenure year, tom wilson"
106,"flow, bandwidth, fairness, max min, min, allocation, bandwidth flow, bandwidth reserved"
107,"al, et al, et, clark, et al example, al example, saltzer et, saltzer et al"
108,"algorithm, nagle, converge, offered reward break, red algorithm, offered reward, right point, sophisticated algorithm"
109,"ipsec, ipsec datagram, datagram, esp, sa, esp protocol, headquarters, payload"
110,"hamming, code, convolutional, reed, solomon, reed solomon, convolutional code, error"
111,"port, port number, port reserved, number, reserved, port port, server port, server port number"
112,"cookie, amazon, susans, cookie header, susan, cart, cookie containing, identification number"
113,"solution, problem, solve, problem problem, previous problem, problem interesting, solution consider, solution solution"
114,"nat, nat box, box, translation, address translation, address, ip address, problem nat"
115,"voip, voice ip, voice, voip application, voip example, peer peer traffic, peer traffic, voice ip packet"
116,"address, address space, address address, space, postal address, address field, postal, addressing"
117,"virtual circuit, virtual, circuit, virtual circuit network, circuit network, circuit set, vc, network virtual circuit"
118,"segment, lost segment, segment arrive, suppose segment, segment lost, lost, segment segment, segment contains"
119,"sequence number, sequence, bit sequence number, number, bit sequence, sequence number field, number field, range sequence number"
120,"bandwidth, network bandwidth, bandwidth efficiently, higher class, version want watch, watch function, bandwidth approach, current available"
121,"queuing delay, queuing, delay, queueing, queue, queueing delay, arrival rate, queuing delay packet"
122,"alice isp, alice, isp, bob, bob ip address, bob ip, ip address, dns"
123,"service, class service, besteffort, class, besteffort service, type service, differentiated service, differentiated"
124,"checksum, sum, complement, internet checksum, complement sum, checksum algorithm, complement arithmetic, computed"
125,"rsa, rsa algorithm, algorithm, public key, rsa work, public, key algorithm, public key algorithm"
126,"faster, efficiency, performance, improve performance, improve performance improve, performance improve, fixed determine, performance improve performance"
127,"csma, csma cd, cd, collision, csma collision, csma ca, persistent csma, persistent"
128,"source port, port, port number, source port number, source, destination port, destination port number, nmap"
129,"physical layer, physical, layer physical layer, layer physical, physical layer physical, layer, link layer physical, layer machine"
130,"router, router router, natenabled, natenabled router, router gateway, free zone, cost router router, default free zone"
131,"access control sublayer, control sublayer, medium access control, medium access, sublayer, access control, control sublayer medium, sublayer medium"
132,"congestion control, tcp congestion control, congestion, tcp congestion, control, congestion control tcp, tcp, control tcp"
133,"quantization, sample, quantized, dct, bit sample, coefficient, sampling, analog"
134,"data link, data link layer, link layer data, link layer, layer data link, layer data, link, layer"
135,"sequence number, initial sequence number, initial sequence, sequence, initial, number, segment, sequence number field"
136,"wireless lan, lan, wireless, ieee, standard wireless lan, lan wireless lan, standard wireless, lan wireless"
137,"http, http protocol, hypertext transfer protocol, hypertext transfer, protocol http, http hypertext transfer, web, http hypertext"
138,"flow table, flow table entry, table, flow, table entry, entry, action, controller"
139,"stack, protocol stack, protocol, layer protocol stack, stack protocol, protocol stack protocol, layer protocol, protocol protocol stack"
140,"acknowledgement, acknowledgement frame, frame, frame received, frame acknowledgement, piggybacked acknowledgement, received acknowledged, lost"
141,"routing algorithm, routing, algorithm, way classify routing, way classify, classify routing algorithm, routing algorithm according, algorithm according"
142,"urity, encryption, encrypted, encrypt, urity mechanism, network urity, ure, end end"
143,"jitter, called jitter, network jitter, delay jitter, high jitter, networkinduced, low jitter, delay"
144,"base station, base, station, cell, cell base, cell base station, mobile, base transceiver station"
145,"php, javascript, script, cgi, language, vbscript, jsp, php script"
146,"prefix, longest, matching, longest prefix, longest matching, matching prefix, longest prefix matching, longest matching prefix"
147,"step, figure step, shown step, step step, step shown, step figure, step illustrated figure, illustrated figure step"
148,"hub, hub switch, switch, switch hub, hub hub, repeater hub, repeater, pair hub"
149,"buffer, buffer size, buffering, buffer management, sized buffer, size, sized, variable sized buffer"
150,"authentication server, authentication, ap, wireless client, protocol ap, authentication protocol ap, ap authentication, access point"
151,"release, released, connection, connection released, releasing connection, releasing, release connection, disconnect"
152,"applet, activex, java, activex control, java applet, jvm, interpreter, applet interpreted"
153,"telnet, telnet session, telnet connection, gateway, external host, internal user, application gateway, character"
154,"cellular, cellular network, lte, network architecture, gsm, architecture, lte long, term evolution"
155,"ieee, acm, standard ieee, ieee ieee, ieee standard, standard, ieee acm, aspect ieee"
156,"icmp, icmp message, ping, echo, icmp message type, ccmp, icmp echo, use icmp"
157,"arpanet, arpa, robert, research, project, connected arpanet, original arpanet, dod"
158,"sender, sends message, sends message sends, message sends message, message, deliver message, message sends, message deliver"
159,"qos, guarantee, qos guarantee, flow, resource, qos requirement, admission, perconnection qos"
160,"book, chapter, author, reference, edney, interchangeably, encourage, term"
161,"cost, link cost, cost change, link, link cost change, dyx, cost link, link cost increase"
162,"virus, malware, worm, malicious, infect, selfreplicating, virus worm, attachment"
163,"msc, anchor msc, visited, anchor, visited msc, mobile, msc visited, home msc"
164,"queue, queued, queue packet, transmission packet, packet, packet queue, transmitted, packet transmitted"
165,"checksum, pseudoheader, udp, header, internet checksum, checksum computed, computed, header checksum"
166,"tree, spanning tree, spanning, sink, sink tree, group, pruned, tree router"
167,"forwarding table, forwarding, table, router forwarding table, router forwarding, forwarding table router, table router, link interface"
168,"syn, syn segment, segment, syn flood, segment client, client tcp, flood, tcp"
169,"traceroute, traceroute program, traceroutes, trace, program, www traceroute, trace route, traceroute org"
170,"dtn, bundle, dtn node, dtns, bundle dtn node, bundle dtn, dtn architecture, storage"
171,"sequence number, sequence, packet sequence, packet sequence number, number, packet sent, duplicate, sent packet sequence"
172,"request, request reply, response, response message, reply, http, http response message, backtoback"
173,"snmp, managing, managing server, managed device, snmpv, managed, mib, pdu"
174,"tion, tions, following tions, tion look, tion tion, later tion, look, following"
175,"transportlayer protocol, transport protocol, transportlayer, transport, protocol provides, protocol, provides logical, element transport protocol"
176,"mobile web, mobile, web, mobile device, desktop, device, content, smartphone"
177,"interconnected, collection, network network, internet, internetworks, internetwork, connected internet, internet connected"
178,"section recall, recall, recall section, recall section recall, section recall section, section, recall discussion, section recall discussion"
179,"switching, circuit switching, packet switching, circuit, switching packet, switching packet switching, circuit switching packet, switching circuit switching"
180,"pixel, color, image, rgb, pixel pixel, bit pixel, eye, green"
181,"channel, signaling, channel allocation, signaling channel, allocation, use channel, allocation problem, single channel"
182,"udpclient, py, serverport, clientsocket, serversocket, socket, udpserver, bind"
183,"gigabit, gigabit ethernet, ethernet, fast ethernet, mbps, fast, ethernet standard, compatibility"
184,"ct, rts, rts ct, ct frame, rts ct frame, rts frame, frame, frame rts"
185,"timer, tick, timer expires, reset, expire, timer set, expires, timer management"
186,"table, column table, column, note table, shown table, lookup, table shown table, numbered starting"
187,"input bit, output bit, bit output, output, bit, input, bit input, mapped"
188,"client server, client, client code, clientserver application, look client, code client, client server model, client server program"
189,"tunnel, tunneling, ipv, paris, london, multiprotocol router, multiprotocol, ipv packet"
190,"ppp, aal, ppp frame, sonet, protocol ppp, hdlc, pointtopoint, frame format"
191,"crc, crc code, polynomial, cyclic redundancy check, redundancy check, cyclic redundancy, cyclic, crc byte"
192,"vpn, private network, virtual private, virtual private network, vpns, private, virtual, public internet"
193,"procedure, stub, server procedure, remote procedure, client stub, procedure client, server stub, called procedure"
194,"tcp sender, loss, rate, congestion, loss rate, packet loss, tcp, sender"
195,"switch, linklayer switch, packet switch, linklayer, router linklayer switch, router linklayer, switch router, implement layer"
196,"country, france, boston ma, sept, white plain, ma, florida, state state"
197,"station, suppose station, numbered station, transmitting station, hearreceive, station transmitting station, transmits hearreceive, transmitting"
198,"bridge, frame port, port, port bridge, frame bridge, frame, bridge frame, frame sent port"
199,"timeout, timeouts, timeout interval, timeout event, timeoutinterval, interval, event, interval timeout"
200,"playout, playout delay, talk spurt, spurt, playout time, packet talk spurt, packet talk, scheduled playout"
201,"mac address, mac, adapter, address adapter, address, mac address adapter, address mac address, address mac"
202,"wimax, mobile wimax, wimax network, known wimax, fixed wimax, wimax fixed, fact wimax, wimax collision"
203,"source, destination, router advertisement, outgoing line, solicitation, source destination, destination network, routed source"
204,"data rate, rate, overhead, rate adaptation, adaptation, tion overhead, gross, overhead generated checked"
205,"encoding, ascii, encoded, ascii character, require expensive hardware, decode message, encoding option, require expensive"
206,"sequence number, window, sequence, number, sliding window, sliding, window protocol, range sequence number"
207,"downstream, upstream, mbps downstream, upstream downstream, downstream mbps, mbps downstream mbps, downstream mbps upstream, mbps upstream"
208,"sha, hash, hash algorithm, cryptographic hash, hash function, sha hash, cryptographic, function"
209,"quality service, quality, service, based quality, based quality service, flow based quality, support quality, support quality service"
210,"collision, probability collision, equal probability collision, collision chosen, chosen equal probability, collision chosen equal, collision collision, equal probability"
211,"mac address, mac, address field, address, contains mac, contains mac address, ap, address mac"
212,"fsm, fsm description, description, fsm figure, state fsm, extended fsm, rdt, initial state fsm"
213,"frame, bit frame, bit, error, zero appended, frame zero appended, frame start end, frame zero"
214,"vlr, hlr, visited network, visited, roaming, mobile user, location register, location"
215,"authentication, authentication protocol, authorization, simple authentication, authentication authentication, mutual authentication, mutual, password"
216,"communication, communication possible, communicate, communication people, communicate communicate, sending communication possible, sending communication, communicate communicate communicate"
217,"spam, mail, spammer, junk, junk mail, spam email, mail spam, incoming mail"
218,"tcp, tcp implementation, tcp us, ip product, ha et, al tcp, mail order, ha et al"
219,"forwarding, generalized forwarding, generalized, assured forwarding, assured, expedited forwarding, simple diffserv, simple diffserv network"
220,"access protocol, multiple access, multiple access protocol, random access, access, random access protocol, random, channel partitioning"
221,"connection, connection establishment, establishment, establishing connection, assume connection, connection management, flow process, flow process process"
222,"case, case case, consider case, case likely, case consider case, case consider, professional, consider"
223,"hot potato, potato, hot potato routing, potato routing, hot, route, bgp, routeselection algorithm"
224,"tcp ip, model, ip model, tcp ip model, osi, reference model, tcp ip reference, ip reference"
225,"modem, cable modem, minislots, minislot, cmts, downstream channel, upstream, downstream"
226,"application buffer, client application, client application buffer, buffer, client, server sends bit, sends bit, time ttf client"
227,"web server, web, companion website, website, assignment, server, skeleton code, skeleton"
228,"audio, low, high low, audio http, audio application, low low, low medium, http traffic"
229,"envelope, body, smtp, header, email, message, email address, recipient"
230,"label, flow label, path label, different label, label field, single label, set label, label switch"
231,"samplertt, estimatedrtt, samplertt value, value, rtt, devrtt, estimatedrtt samplertt, sample"
232,"consider figure, figure consider figure, consider figure consider, figure consider, consider, figure, learning feature nicely, insight consider"
233,"aloha, slotted aloha, slotted, efficiency slotted aloha, efficiency slotted, efficiency, pure, pure aloha"
234,"handoff, base station, base, station, handover, old base station, old base, cell"
235,"ipv datagram, datagram format, ipv, ipv datagram format, datagram, format, version, section ipv datagram"
236,"attack, bad guy, guy, security, network security, bad, do attack, do"
237,"xml, xhtml, html, language, xhtml basic, xslt, called xhtml, html defined"
238,"data sent, data transmitted, transmit data, data, transmit data sent, data soon, sender data, want send data"
239,"gsm, mobile phone, phone, europe, mobile, european, gsm global, gsm global mobile"
240,"file, large file, file host, host sending, sending large file, sending large, host host, host"
241,"congested link, share, bandwidth, equal, share link, congested, link bandwidth, share link bandwidth"
242,"flooding, flood, link state update, state update, flooded, way setup, flooding requires, link state"
243,"handshake, threeway, way handshake, threeway handshake, way, handshake let, handshake protocol, way handshake way"
244,"discus, discus discus, ter discus, tion discus, chapter discus, discus later ter, later ter discus, let discus"
245,"ad hoc, hoc, ad, ad hoc network, hoc network, manet, network ad, network ad hoc"
246,"shortest path, shortest, path, compute shortest path, compute shortest, dijkstras, shortest path network, path network node"
247,"probability, slot, probability node, slot probability, node, slot node, probability given, node transmits"
248,"burst, burst error, burst length, error, burst error length, single burst, single burst error, length burst"
249,"form, post, method, post method, input type, age, html, body"
250,"example let, example let look, let look, look example, let look example, let, look, example"
251,"host host, host, channel host, channel host host, host host request, host request, request channel host, suppose host"
252,"message, message message, want reply message, want reply, reply field, encapsulated message, reply message, reply"
253,"idle, channel idle, idle station, channel idle station, channel, sensed, channel sensed, station"
254,"public key, public, key, key ring, ring, key ring contains, ring contains, public key user"
255,"chip sequence, chip, sequence, chip sequence station, sequence station, station, orthogonal, transmit"
256,"illustrated figure, illustrated, figure illustrated figure, figure illustrated, figure, illustrated figure illustrated, figure looking, broad picture"
257,"capacity receiver, sender, receiver, rate, sending rate, capacity, fast sender, send rate"
258,"procedure, parameter, procedure described section, procedure described, pointer, described section, order information, iso adopting"
259,"door, socket, client, serversocket, knock door, client knock door, client knock, knock"
260,"path, path length, path taken, path shown, path path, path run, path path change, multiple path equally"
261,"id, signaturebased, signature, snort, signaturebased id, signature database, new attack, database"
262,"toll, office, toll office, ixc, lata, lecs, ixcs, latas"
263,"mtu, path mtu, mtu discovery, path mtu discovery, path, discovery, fragmented, path fragmentation"
264,"compression, decompressing, compression algorithm, later data, earlier data, decompressed, decompression, compression system"
265,"osi, osi model, model, osi reference model, osi reference, reference model, model minus, heavily influenced"
266,"option, choice, choose option, choose, long tail anderson, electronically get, get dick luck, standard usually"
267,"ear, frequency, audibility, threshold audibility, hz, sound, db, threshold"
268,"token, ring, token ring, ring protocol, token ring protocol, called token, predefined, token station"
269,"internet, internet internet, world internet, internetwork, internet application, internet information internet, material briefly, large nontrivial"
270,"bursty, traffic, burst, burst traffic, floyd leland, scale paxson, scale paxson floyd, traffic bursty burst"
271,"delay, packetization, processing delay time, connected router connected, delay time required, packet, packetization delay, connected router"
272,"error rate, bit error rate, bit error, error, wireless link, wired, wireless, error common"
273,"base station, base, wireless host, wireless, host associated, station, wireless host associated, host associated base"
274,"formula, infinity, approach infinity, formula let, formula let approach, let approach, let approach infinity, equation"
275,"kbps, speech, uncompressed, voice, uncompressed voice, digitized, pcmencoded, human speech"
276,"multipath, fading, multipath fading, path loss, multipath propagation, signal, faded, interference"
277,"bridge, lan, multidrop, join, multidrop lan, lan bridge, bridged lan, bridged"
278,"tcp ip, protocol tcp, tcp ip protocol, ip protocol, tcp, tcp protocol, tcpip, protocol"
279,"process, client process, process server, process client, client process server, server process, session pair, process client process"
280,"traffic, traffic destined, destined, originates unit traffic, node originates, node originates unit, originates unit, unit traffic destined"
281,"design, property, worked long huge, large nonetheless, thing designer design, today look, majority population people, large nonetheless capture"
282,"distribution time, distribution, minimum distribution, minimum distribution time, minimum, specify distribution scheme, scheme distribution time, distribution scheme distribution"
283,"letter, plaintext, common letter, trigram, digram, th common, th common word, common"
284,"node, frame node, transmitting frame node, transmitting frame, node wait, channel node, transmitting, transmission node"
285,"wireshark, wireshark lab, lab, sniffer, packet sniffer, youll, lab youll, wireshark packet sniffer"
286,"section described, discussion, described section, section described section, order discussion, section, debate, described"
287,"method, method method, approach, niche let, method desirable practice, methods, method learned, method general"
288,"networking, student want, recommendation student want, recommendation student, career, want career, student want career, want career science"
289,"ond, ond strategy, ond requirement, onds, ond issue load, line onds, line onds ond, ond consideration process"
290,"encrypted, ek, plaintext, encrypting, intruder, message note, know key, plaintext message"
291,"internet radio, radio, iptv, radio station, radio television, live, television, internet radio station"
292,"nonce, mics, nonce value, protocol us nonce, access point, us nonce, compute session, compute session key"
293,"sender figure, figure sender, figure receiver, figure, receiver figure, receiver, sender, figure sender receiver"
294,"advantage, benefit, strategy advantage advantage, advantage advantage, advantage benefit, strategy advantage, advantage scheme, strategy"
295,"router crash, crash, router, router discarded, havoc network, age, designated router, blown"
296,"integrity, message integrity, confidentiality, message integrity technique, problem message integrity, integrity technique, message, confidentiality integrity"
297,"switch, connection switch, term bridge switch, switch interchangeably, bridge switch interchangeably, term bridge, look switch, connect switch"
298,"nrz, manchester, manchester encoding, encoding, return zero, non return, non return zero, nrzi"
299,"hop, time live, counter, time live field, live field, live, decremented, decremented hop"
300,"area, border router, border, area border router, area border, backbone, destination area, backbone router"
301,"introduction introduction, introduction, introduction introduction introduction, introduction introduction medical, text schwartz provides, introduction better, understand let start, introduction busy"
302,"router figure, fig router, router fig router, router fig, figure note, router, figure router, router figure note"
303,"analogy, analogy section, teacher student, clearer, teacher, introduced man, mail naturally, operation analogy"
304,"address block, ispsrus, block address, block, isp, address, organization, allocated"
305,"army, blue army, blue, blue army attack, army attack, attack, army blue army, commander"
306,"tsap, tsap address, portmapper, stable tsap address, stable tsap, attache tsap, tsap host, known tsap"
307,"social, social network, facebook, twitter, friend, online social, instagram twitter, facebook instagram twitter"
308,"security, security mechanism, danger information, danger information leaking, security flaw, information leaking, leaking, concern"
309,"sonet, carrier, sonet sdh, packet sonet, sdh, synchronous, sts, simply convenient container"
310,"group, working group, working, divided working, committee, divided, divided working group, chairman"
311,"secure email, email, secure, pgp, email provides confidentiality, designing secure email, designing, designing secure"
312,"example example, example example example, example, exist course, flanagan numerous example, example example kleinrock, example example gave, example gave example"
313,"nsf, nsfnet, backbone, nsfnet backbone, an, supercomputer center, merit, commercial"
314,"analog, digital, digital transmission, adc, voltage, converter, acoustic wave, electrical voltage"
315,"switch, frame interface, filtering, forward frame, interface, frame switch, filtering forwarding, frame output buffer"
316,"jpeg, image, subsequent image, redundancy, decoding, encoding, decoding jpeg, frame separately"
317,"beacon, sleep, ap, wake, beacon frame, buffered, buffered frame, frame node"
318,"key, whitening key, whitening, key key, key management, work follows key, key respect, respect key work"
319,"ecn, congestion, explicit congestion notification, congestion notification, ece, explicit congestion, notification, explicit"
320,"slot, tdm, time slot, frame tdm, slot frame, time slot frame, tdm slot, time slot user"
321,"gbn, gbn protocol, gbn sr, sr, gbn sr protocol, gobackn, sr protocol, errorrecovery mechanism"
322,"distance vector routing, vector routing, vector, distance vector, distance, routing, routing distance vector, routing distance"
323,"repeat, forever, line process, data point, process repeated, line, selective repeat, selective"
324,"subtypes, subtype, type, subtype field, type subtype, zip, pdf, mixed"
325,"value value, value, recommended value, use value, recommended, play value, relates use global, variable absolute"
326,"nr, seq, expected, frame expected, seq nr, frame, event, ack"
327,"ike, sa, ike sa, ipsec, ipsec sa, phase, ssl ike, exchange"
328,"routing protocol, intradomain, interas, interdomain, interas intraas, routing, intraas, intraas routing protocol"
329,"ack, syn, syn ack, synack, ack segment, return ack segment, return ack, ack corresponds"
330,"execute, program, executable program, executable, program running, routine, process, probably dont"
331,"bridge, hash table, manual configuration, inside bridge, treatment bridge, manual, perlman, transparent"
332,"file transfer, throughput file, throughput file transfer, throughput, transfer, file, transfer server client, file transfer server"
333,"work, work work, job work, privilege guess paul, work rest want, work thing work, want watch work, work reported serjantov"
334,"connectionless, connection oriented, oriented, connectionless service, connectionless network, oriented service, connection oriented service, layer connection oriented"
335,"transmission, transmission method, pin, base station, way headend user, subscriber rigidly, technique briefly transmission, identical action"
336,"proxy, proxy proxy, cleartext, web site, proxy server, proxy server proxy, web proxy user, proxy user"
337,"cocktail party, party, cocktail, partygoer, talking, speak, analogy, partygoer speak"
338,"reorder, order sent, reorder message, corrupt, channel, delivered order sent, corrupt reorder, corrupt reorder message"
339,"suppose, xr suppose, xr, suppose ususuunn suppose, xr suppose xr, suppose suppose, suppose usndmin, suppose ususuunn"
340,"switch figure, switch table, uppermost switch figure, uppermost switch, uppermost, figure switch, switch, figure switch table"
341,"wep, equivalent privacy, wired equivalent, wired equivalent privacy, stubblefield, equivalent, wep wired equivalent, wep wired"
342,"network core, core, edge, network edge, edge network, end system, edge network core, network network core"
343,"security, security service, security functionality, provide security, functionality, enjoy security service, enjoy security, blanket coverage"
344,"audio, audio video, video, sound, soundtrack, audio channel, moving picture, film"
345,"network performance, performance, measurement, measuring, network performance measurement, performance measurement, measure network performance, measurement network"
346,"kbps, ran, kbps kbps, bit kbps, older, mbps better low, kbps worth, kbps monaural"
347,"receive receive, sent, sent faster version, sent perth complete, sent sent server, server sent faster, sent instead, sent received received"
348,"information, information information, hope information, hope information need, davie, information theory, information need, perkins"
349,"diffserv, phb, diffserv architecture, marking, diffservcapable, behavior, perhop behavior, edge"
350,"window, window update, update, sends window update, sends window, called window, window management tcp, window management"
351,"tree, zebra, tree tree, search begin, term standard, tree zebra, tree zebra tree, tree search begin"
352,"capacity, capacity megabit, increase capacity, demand, megabit, pipe, filled capacity, practice hard generalize"
353,"discussed section, discussed section discussed, section discussed section, section discussed, discussed, section, dash discussed, dash discussed section"
