Bucket Number,Bucket
92,"card, smart card, smart, credit, money, bank, account, telephone"
93,"queue, ready queue, ready, process queue, queue process, tail, pcb, wait queue"
94,"lock, release lock, locking, try, clause, release, acquire, acquire lock"
95,"touch, screen, finger, touch screen, multitouch, capacitive, resistive, finger screen"
96,"struct, task struct, task, handle, handle handle, struct task, handle handle handle, handletable"
97,"android, google, google play, proprietary, development, platform, play, development android"
98,"assembly, assembly language, language, million, million line, line code, written assembly, compiler"
99,"path, working directory, absolute, absolute path, path name, directory, relative path, relative"
100,"exist, possibility, possibility exist, big deal, told friend, exist explain, told, true wait"
101,"compression, compressed, deduplication, compression algorithm, ntfs, compress, uncompressed, file compression"
102,"cloud, cloud computing, computing, docker, iaa, data center, amazon, software service"
103,"utilization, cpu utilization, utilization percent, percent, cpu, degree, cpu utilization percent, utilization cpu"
104,"termination, termination process, terminate, exit, terminate process, terminated, process termination, creation termination"
105,"slab, allocator, slab allocator, kernel memory, slab allocation, contiguous page, contiguous, physically contiguous"
106,"lock, lock byte, shared lock, exclusive, exclusive lock, lock file, locking, file lock"
107,"kernel, kernel kernel, kernel data structure, kernel data, kernel algorithm, kernel subsystem, course kernel, easier modify"
108,"ibm, gate, ibms, kildall, ibm came, ibm ibm, microsoft, digital research"
109,"disk, hard disk, floppy, disk disk, hard, floppy disk, disk controller, drive"
110,"volume, partition, file system, storage, volume manager, multiple partition, multiple, storage device"
111,"browser, web, web browser, web page, chrome, spreadsheet, url, website"
112,"uid, gid, uid gid, effective uid, effective, real uid, real, uid user"
113,"tree, directory, treestructured, treestructured directory, directory tree, hierarchical directory, subdirectory, twolevel directory"
114,"burst, cpu burst, cpu burst time, cpu, burst time, completes cpu burst, completes cpu, burst burst"
115,"section section, section section section, section, shall section, shall section section, section shall section, section shall, shall"
116,"paging, demand paging, demand, memory paging, swapping, memory, memory demand, coloring"
117,"capability, object capability, object, right, new capability, capability list, capability point, indirect object"
118,"unix linux android, linux android, case study unix, study unix linux, study unix, android chap, linux android chap, unix linux"
119,"fig, fig fig, fig instead, look fig, fig fig fig, arrow fig, saw fig, arrow"
120,"color, pixel, palette, color palette, image, blue, bit color, gif"
121,"cdrom, iso, file cdrom, cdroms, volume descriptor, cdrom file, primary volume descriptor, primary volume"
122,"activity, intent, activity manager, package, manager, application, android, manifest"
123,"right notice, right notice oper, notice oper, clearly right notice, clearly right, oper, clearly, notice"
124,"message, receive, receive message, message process, process sends, message passing, sent, message receive message"
125,"layer, layered, layer layer, software layer, layered approach, lowerlevel layer, layering, layer software"
126,"disadvantage, advantage, advantage disadvantage, drawback, disadvantage advantage, advantage method, model advantage, benefit"
127,"page table, inverted page table, inverted page, inverted, table, twolevel, table inverted, page table inverted"
128,"vfs, vnode, vfs layer, concrete file, layer, virtual file, concrete, rnode"
129,"page table, table, memory reference, page, pagetable entry, pagetable, memory table, table page"
130,"fragmentation, internal fragmentation, external fragmentation, internal, external, fragmentation problem, fragmentation external, fragmentation external fragmentation"
131,"context switch, context, switch, contextswitch, number context, number context switch, contextswitch time, nonvoluntary"
132,"firewall, company computer, dmz, hardware firewall, lan, company, network firewall, connection"
133,"systemd, child process, child, parent process, tree, process tree, process child, parent"
134,"dfs, clusterbased, dfs model, clusterbased dfs, naming, distributed, dfss, conventional"
135,"privilege, ring, protection, principle privilege, principle, protected, process user resource, needtoknow"
136,"jvm, java, java program, java virtual, interpreter, java virtual machine, class, java interpreter"
137,"systemcall, systemcall interface, interface, library, standard library, provides systemcall, provides systemcall interface, systemcall handler"
138,"dlls, library, dynamic, linking, dynamic linking, dll, link library, loaded"
139,"address space, space, address, virtual address space, virtual address, physical memory, address space process, virtual"
140,"mmu, physical address, address mmu, memory management unit, management unit, address, unit mmu, management unit mmu"
141,"shared file, file sharing, sharing, share file, sharing file, semantics, multiple user, share"
142,"ntfs, ntfs file, file ntfs, metadata, ntquer, volume, ntfs volume, master file table"
143,"failure, reliability, fault tolerance, tolerance, fault, fault tolerant, tolerant, self healing"
144,"paging, demand paging, demand, paging system, demandpaging, paging algorithm, performance demand paging, performance demand"
145,"process memory, insufficient, memory, memory process, memory allocated process, memory allocated, memory time, insufficient memory"
146,"intel, amd, architecture, chip, amd architecture, bit cpu, bit architecture, bit"
147,"limit register, base, base limit, limit, register, base limit register, relocation, base register"
148,"clone, flag, new thread, clone clone, child task, flag passed clone, passed clone, flag passed"
149,"process equal, process equal process, equal process, process process, process consider, process consider consisting, consider consisting process, process described section"
150,"spinlocks, spinlock, spin, spin lock, lock, short duration, kernel preemption, duration"
151,"wan, internet, network, widearea network, widearea, arpanet, lan, localarea network"
152,"cpu memory, cpu, cpu cpu, local memory, cpu cpu cpu, interconnect, access local memory, memory cpu"
153,"registry, hive, configuration, hklm, configuration information, registry key, key, registry configuration"
154,"read file, read, file read, write file, read write, file called standard, called standard, write"
155,"time, time time, time time time, time figure, period, reference expected, time time figure, block time time"
156,"discus, section discus, approach discus, discus discus, discus relative merit, merit, discus pro, discus pro con"
157,"swap, swap space, swapping, swapspace, raw partition, partition, support swapping, space"
158,"rootkit, rootkits, sony, hide, rootkit hide, cd, operating application virtual, sony rootkit"
159,"programmer, chief programmer, chief, team, project, software project, secretary, software development"
160,"journaling, journaling file, ext, journal, logstructured, journaling file system, logstructured file, file system"
161,"linked list, list, linked, list head, struct, struct color, head, color"
162,"free software, opensource, gpl, opensource operating, opensource operating system, license, free, source code"
163,"multiple processor system, processor system, multiple processor, processor system chap, system chap, chap multiple processor, chap multiple, processor"
164,"mount, mounting, mounted, mount file, file mounting, mount point, mounting file, file mounted"
165,"figure figure, figure figure figure, figure, figure prog figure, figure jim usrjim, figure figure jim, fat figure sec, figure figure bored"
166,"virus, boot sector, vector, boot, memoryresident, memoryresident virus, sector, interrupt vector"
167,"feature, flexibility, principle, life imitating, imitating, modular, guiding, guiding principle"
168,"address space, space, address space address, space address, space address space, address, virtual address space, us address"
169,"tpm, pcr, bootloader, secure, trusted, hash, party, value pcr"
170,"process thread, thread window, thread, process process, process thread window, thread section, thread process, window thread"
171,"fig, fig situation, shown fig situation, illustrated fig, shown fig, situation shown fig, situation shown, illustrated"
172,"allocation, contiguous, linked allocation, linked, indexed, indexed allocation, contiguous linked, contiguous allocation"
173,"mount, mounted, remote directory, mounting, remote, client, directory, client mounted"
174,"hypervisors, type hypervisors, type, type hypervisor, hypervisor, hypervisors type, type hypervisors type, hypervisors type hypervisors"
175,"msdos, msdos file, old msdos, window msdos, version, msdos window, msdos directory entry, graphical environment"
176,"critical region, region, critical, region process, critical region process, enters critical region, enters critical, enter"
177,"pthread, attr, pthread attr, scope, pthreads, attr attr, thread pthread, param"
178,"reader, writer, reader writer, readerswriters problem, readerswriters, exclusive access, database, reader writer problem"
179,"security, security feature, window, security window, feature, window vista, vista, new security"
180,"hardware, hardware hardware, hardware support, hardware manufacturer, hardware computer, lowest level hardware, hardware different, hardware software"
181,"procedure, procedure call, posix procedure, local procedure, posix procedure call, local procedure call, posix, calling called"
182,"applet, untrusted applet, sandbox, untrusted, trusted, web page, applet fetched, web"
183,"segment, segment segment, segment segment segment, segmentation, segment descriptor, segment register, descriptor, descriptor segment"
184,"accesscontrol, access list, access, default set, accesscontrol list, denied, access object, access control"
185,"pipe, named pipe, named, pipe named, pipe named pipe, ordinary pipe, communication, ordinary"
186,"pcie, bus, pci, hub, lane, pci bus, pcie slot, usb"
187,"idle, cpu idle, idle time, cpu, go idle, idle process, idle thread, sat"
188,"socket, socket created, socket descriptor, local socket, socket socket, bind, socket allow, connection"
189,"roundrobin, roundrobin scheduling, scheduling, roundrobin scheduler, priority, quantum, priority scheduling, realtime roundrobin thread"
190,"distributed system, distributed, network distributed, distributed operating, network distributed system, network, system, system distributed"
191,"dns, host, hostid, host network, domainname, naming, hostname, network number"
192,"fiber, thread fiber, fiber fiber, fiber thread, process thread fiber, job process thread, job process, fiber created"
193,"race, race condition, condition, race condition possible, condition possible, prevent race, shared data, race condition occur"
194,"device independent, device, device independence, independence, new device, hardware device, independent, install new hardware"
195,"transfer rate, transfer, rate, streaming transfer, streaming, access latency, streaming transfer rate, transfer time"
196,"frame, free frame, freeframe, freeframe list, page frame, free, old page, list"
197,"loaded memory, program loaded, program loaded memory, loader, program memory, loaded, load, loaded memory executed"
198,"microkernel, microkernels, monolithic, microkernel approach, microkernel design, typical microkernel, based microkernel, modular"
199,"fetch, instruction, decode, operand, fetch instruction, register, fetch instruction memory, execute unit"
200,"timesharing, timesharing system, ct, generalpurpose timesharing, time sharing, tss, compatible timesharing, timesharing ct"
201,"average, waiting time, average waiting, average waiting time, turnaround, turnaround time, wait millisecond, waiting"
202,"standby, standby list, modified, modified list, list, page modified, dirty, clean"
203,"client, collaborator, remote machine, ssh, server, server process, remote, remotely"
204,"mailbox, message mailbox, mailbox process, mailbox mailbox, message, receive message mailbox, receive message, receive"
205,"address space, virtual address space, virtual address, space, address, process virtual address, exec, process virtual"
206,"keyboard, mouse, printer, device, disk printer, device keyboard, usb, device disk"
207,"storage, san, na, networkattached, networkattached storage, hostattached storage, hostattached, storage network"
208,"parameter, parameter self, parameter self explanatory, explanatory, self explanatory, passed parameter, function passed parameter, function"
209,"scheme, scheme shown, scheme shown figure, shown figure scheme, needed scheme, figure scheme, scheme needed scheme, variant scheme"
210,"authentication, authenticated, login, user authenticated, authenticated login, user authentication, authentication method, authenticate"
211,"parity, parity block, parity bit, drive, bad, bad block, bit, stored parity"
212,"binary translation, translation, binary, translated, implementation binary translation, implementation binary, dynamic binary translation, dynamic binary"
213,"inactive list, inactive, active list, rear, active, list, referenced, list referenced"
214,"philosopher, eating, eat, philosopher number, fork, thinking, left fork, dining"
215,"monitor, reference monitor, reference, call monitor, monitor concept, monitor monitor, monitor procedure, applet"
216,"diskscheduling algorithm, diskscheduling, diskhead, seek, hdd, movement, disk, disk seek"
217,"shared memory, message passing, passing, shared, message, memory message, communication, interprocess communication"
218,"figure program, program shown figure, program shown, figure program shown, shown figure program, shown figure, figure, shown"
219,"snapshot, snapshot taken, root inode, new snapshot, wafl, point time, taken, root inode block"
220,"communication, interprocess communication, interprocess, communication process, interprocess communication process, communication network, process executing, approach interprocess"
221,"binder, ipc, binderproxy, parcel, binder ipc, iexample, binder object, binderb"
222,"storage, secondary, secondary storage, storage device management, storage structure, tertiary storage, tertiary, device management"
223,"value, value value, hexadecimal, factor, perfect, number given hexadecimal, sum factor, given hexadecimal"
224,"scheduler, thread run, thread scheduler, thread, decides thread, scheduler thread, pick thread, thread scheduling"
225,"thread chap, process thread chap, thread chap process, chap process, chap process thread, process thread, chap, thread"
226,"performance, impact, impact use, factor performance, performance approach, overhead, performance performance, impact performance"
227,"section, section look, section described, section described section, described section, following section, look, following section described"
228,"token, sid, sids, access token, represented token, privilege, user sid, token object"
229,"preemptive, running kernel, nonpreemptive, nonpreemptive kernel, kernel, running kernel mode, preemptive kernel, preemption"
230,"frame, frame process, minimum number frame, minimum number, allocation frame, number frame, workingset, allocate frame"
231,"sector, sector track, track, cylinder, zone, number sector, disk cylinder, outer"
232,"segment, text, stack, text segment, stack segment, data segment, data stack, heap"
233,"locality, locality reference, locality model, exhibit, locality locality, working set, reference, working"
234,"dispatcher, dispatcher object, signaled, object signaled, object, dispatcher object signaled, synchronization, object dispatcher"
235,"kernelmode, kernelmode object, object, kernelmode code, handle, opaque, object data structure, usermode"
236,"zfs, zfs zfs, zfs file, checksum, zfs zfs zfs, system zfs, file system zfs, zfs us"
237,"att, bell, laboratory, bell laboratory, unix, university, berkeley, usg"
238,"chapter filesystem, chapter, chapter filesystem interface, filesystem interface, chapter filesystem implementation, filesystem, filesystem implementation, chapter file"
239,"namespace, object manager, object, parse, namespace object, namespaces, object namespace, namespace object manager"
240,"owner, attribute, date, file size, file owner, size time, size, date time"
241,"cancellation, thread cancellation, deferred, deferred cancellation, target thread, cancel, pthread cancel, pthreads"
242,"argv, command line, envp, array, string, argument, array pointer, argc"
243,"byte, identifier byte, significant byte, store significant byte, store significant, byte actually, byte address, size byte"
244,"batch, batch system, job, batch job, interactive, job sequencing, sequencing, system batch"
245,"study window, case study window, study window chap, window chap, window chap case, case study, study, chap case study"
246,"hibernation, standby, hibernated, battery, hiberboot, standby mode, sleep, shutdown"
247,"debugging, debug, debugger, debugged, debuggee, debug program, debugging program, understand debug"
248,"condition, note, condition variable, variable, condition completely, condition separately, necessary condition, separately"
249,"banker, banker algorithm, abcd, abc, algorithm, following snapshot, implement banker, following snapshot allocation"
250,"trap, trap instruction, instruction, trap operating, instruction trap, cm, cm cm, trap instruction trap"
251,"figure example, shown figure example, figure shown figure, figure shown, shown figure, example figure, figure, shown"
252,"rename, deleted, file deleted, deleted file, file new, rename file, old file deleted, file removed"
253,"heap, malloc, memory heap, malloc free, megabyte, allocate, grow, allocate memory"
254,"sector, spare, bad sector, bad, spare sector, sector sector, slipping, sector slipping"
255,"operating design, design chap, operating design chap, design chap operating, chap operating design, chap operating, design, chap"
256,"msec, time msec, msec cpu time, msec cpu, cpu time, msec msec, case msec, user typing charsec"
257,"user process, process execute, user, user program, user process execute, execute user, collection process, user code"
258,"manytomany, onetoone, manytomany model, model, onetoone model, manytoone, manytoone model, model section"
259,"foreground, background, foreground process, importance, run background, process foreground, importance process, multitasking"
260,"policy, choice policy, change policy require, determine policy, policy require, change policy, policy decision, mechanism"
261,"inputoutput, inputoutput chap, chap, chap inputoutput, inputoutput linux, inputoutput chap keyboard, serial task, chap keyboard"
262,"operating structure, structure operating, operating structure operating, operating concept, operating operating, operating, structure tell, structure tell operating"
263,"numa, numa system, memory access, nonuniform, nonuniform memory, nonuniform memory access, numa machine, numa node"
264,"bibliography, hennessy, hennessy bibliography, callaghan, hennessy patterson hennessy, patterson hennessy bibliography, patterson, patterson hennessy"
265,"intrusion, intrusion detection, detection, alarm, modelbased, anomaly detection, anomaly, alarm indicates"
266,"history, history unix, history operating system, history operating, linux history, history feature, linux, operating system history"
267,"swapping, swap, swapping process, swapped, standard swapping, swap space, process disk, backing store"
268,"gui, graphical, graphical user interface, graphical user, user interface, interface, user interface gui, interface gui"
269,"suspended, process suspended, suspended process, suspend, calling process suspended, suspension, process suspended process, suspend process"
270,"printf, string, format string, format, prime, character string, following format string, ratio prime"
271,"address space, space, new thread, address space thread, space thread, address, thread address, thread address space"
272,"read write, read, write, reading writing, read written, read write call, write call, reading writing sequentially"
273,"signing, code signing, signed, signature, code, code integrity, digital signature, sign"
274,"stack, stack grows, grows, value stack, stack segment, downward, stack grows stack, data value stack"
275,"initialize, program initialized, initialization, array, initialized, element, initialize work available, initialize work"
276,"setuid, setuid bit, setuid root, root, setuid program, root setuid, root setuid bit, user identifier"
277,"iobound, iobound process, cpubound, computebound, computebound process, iobound task, cpubound task, short cpu"
278,"timer, timer interrupt, interrupt, clock, clock interrupt, frequency, periodic, system clock"
279,"hole, fit, best fit, best, available hole, free hole, hole list, smallest"
280,"spyware, ad, toolbar, define spyware, spyware want, additionally spyware, change setting, ad spyware"
281,"file system chap, system chap, chap file, chap file system, system chap file, file system, chap, system"
282,"chap, introduction chap, introduction, chap introduction, saw chap, chap chap, int int xij, chap introduction chap"
283,"ipc, ipc mechanism, ipc system, mach, complete ipc, complete ipc operation, different ipc, ipc operation"
284,"scheduling, multiprocessor, multiprocessor scheduling, scheduling multiprocessor, multicore, uniprocessor, multicore scheduling, multiprocessor multicore"
285,"protection, protection mechanism, protection problem, lampson, interesting proving, interesting proving ground, proving ground protection, protection theory"
286,"proc, proc file, file proc, statistic, procfs, file proc file, score, process pid"
287,"privilege, administrator, user assign, logged administrator, special privilege, execution program, perform task, nice value"
288,"security, auditing, audit, operating system security, secure, system security, logging, tcb"
289,"writes, synchronous, synchronous writes, asynchronously, writes file, see fast, delayed, delayedwrite"
290,"apc, usermode, context, usermode apc, dpcs, irql, process context, passive"
291,"programming project, program program, student program, program exercise, programming project programming, project programming, project, program"
292,"fcfs, fcfs scheduling, fcfs scheduling algorithm, scheduling, firstcome, fcfs schedule, simulation performance statistic, simulation performance"
293,"covert, covert channel, channel, steganography, image, steganographic, leak, watermark"
294,"port, task, right, port task, receive right, port right, port port, right port"
295,"copyonwrite, copyonwrite page, marked copyonwrite, copy, private copy, page shared, modified, page"
296,"critical section, enter critical section, critical, enter critical, section, enter, section process, critical section process"
297,"isrs, dpc, dpcs, isr, interrupt, processing, dpcs isrs, isrs dpcs"
298,"work work, work, think work, work think, think, appreciate, success ct conflict, wonder work"
299,"denialofservice, denialofservice attack, attack, ddos, denialofservice do attack, service denialofservice, denialofservice do, ddos attack"
300,"pdp, pdp pdp, interdata, minicomputer, pdp pdp pdp, pdp interdata, pdp minicomputer, unix"
301,"minix, minix development, www minix org, www minix, minix org, minix file, minix unix, supported minix"
302,"special file, file device, device, special, special file file, file device appear, file special file, device file"
303,"goal, ship, operating designed, design begin, goal mind, mind, real system, system"
304,"certificate, public key, public, trusted party, party, authority, key, trusted"
305,"reply, message, receiver, message time, sender, iamup message, iamup, acknowledgement"
306,"pageout, free memory, reclaiming, threshold, pageout daemon, reclaiming page, allow page, allow page locked"
307,"login, password, login login, trying login, invalid login, successful login, login password, asked password"
308,"extension, file type, type file, type, file extension, mpeg, tex, format"
309,"waiting, busy waiting, busy, time waiting, time waiting complete, busy waiting case, suffers busy waiting, suffers busy"
310,"handle, handle process, handle value, close handle, process handle, duplicated, duplicating, duplicated handle"
311,"worm, morris, internet worm, morris worm, worm morris, worm finger, internet, worm program"
312,"linux, overview linux, release linux, overview, linux linux, indepth examination linux, linux linux system, linux section"
313,"mouse, button, click, mouse moved, mouse button, mickey, moved, double click"
314,"case, case case, common case, clear case, case clear, possible case, case point, clear"
315,"jmp, mov, jump, add, cmp, add mov, jmp instruction, mov add"
316,"directory, deleted, rmdir, mkdir, remove directory, directory deleted, deleted directory, remove"
317,"realtime, realtime scheduling, scheduling, realtime system, hard realtime, soft, scheduling class, scheduling realtime"
318,"language, multilingual, language program, higherlevel language, higherlevel, programming language, multilingual support, locale"
319,"lowpriority process, lowpriority, highpriority process, highpriority, lowerpriority, higherpriority, higherpriority process, lowerpriority queue"
320,"call, call call, type call, call exist, set call, call exist somewhat, exist somewhat, miscellaneous call"
321,"ratemonotonic, ratemonotonic scheduling, deadline, meet deadline, scheduling, deadline met, meet, percent ratemonotonic"
322,"revocation, selective, selective revocation, revoked, capability, access right object, right object, access right"
323,"address space, address space page, space page, virtual address space, space, frame consider, physical memory frame, frame consider logical"
324,"lru, lru algorithm, lru replacement, nfu, replacement, approximation lru, crude, crude approximation"
325,"science, research, social science, social, humanity, main page, struggle, tribe"
326,"netmsgserver, netmsgservers, port, netmsgserver node, netmsgserver netmsgserver, message, ipc, destination"
327,"global, global variable, variable, threadlocal, threadlocal storage, thread private, tl, storage"
328,"unsafe, banker, banker algorithm, safe, unsafe state, state, deadlock, state deadlocked"
329,"realtime, realtime system, system realtime, system realtime system, soft realtime, realtime process, realtime operating, real time"
330,"graph, deadlock, cycle, graph cycle, waitfor graph, waitfor, cycle graph, graph deadlock"
331,"frame number, page frame, frame, page page page, page frame number, page page, page, frame number page"
332,"solaris, mauro, solaris internals, prentice hall, prentice, hall, mauro solaris internals, solaris internals second"
333,"zygote, dalvik, process zygote, preloaded, dalvik process, activity manager, dalvik dalvik, new process"
334,"processor thread, processor, cpu thread, ideal, ideal processor, receives proportion processor, receives proportion, running thread"
335,"irp, device stack, irp driver, device object, stack, irps, manager, request packet"
336,"pagefault, pagefault rate, rate, number frame, frame, working set, pagefault rate increase, rate increase"
337,"nsec, take nsec, word nsec, take, word, memory word nsec, memory word, nsec page"
338,"complexity, architecture, approach fifth, quantitative approach fifth, patterson architecture quantitative, patterson architecture, quantitative approach, architecture quantitative approach"
339,"multics, compiler software, multics multics, networked, bell, unix compiler software, unix compiler, mit"
340,"pbg, directory, directory entry, pbg pbg, directory entry file, entry file, directory listing, entry file directory"
341,"word, word processor, step cpu, read word, cpu writes, cpu read, cpu, writes word"
342,"mtbf, mean time, hour, drive, failure, mean time failure, time failure, drive hour"
343,"compiler, compile, conditional compilation, compilation, conditional, compiled, compile time, inserted compiled"
344,"port, port number, service port, standard service, number greater, port set, port port, standard service port"
345,"practice exercise, exercise, exercise practice exercise, exercise practice, practice exercise practice, practice, exercise exercise, practice exercise exercise"
346,"crash, recovery, crash recovery, problem consistency checking, problem consistency, consistency checking, crash eliminating, recovery needed crash"
347,"reference bit, bit, bit page, reference bit page, set page, bit page set, set page referenced, reference"
348,"sender, blocked, sender running, message, send, blocked sender, sender blocked sender, blocked sender running"
349,"distribution, linux distribution, linux, linux community, community, news, slackware, suse"
350,"thread newer, thread offer, separate thread, run separate thread, thread, run separate, student, example program"
351,"balancing, load balancing, load, processor, smp, processor load, processor load balancing, processor affinity"
352,"tree, binary search tree, search tree, binary search, balanced, redblack tree, redblack, balanced binary search"
