problem_statement,titleslug,title,tags,num_occur
"Given an m x n 2D binary grid grid which represents a map of '1's (land) and '0's (water), return the number of islands. An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically. You may assume all four edges of the grid are all surrounded by water.  ",number-of-islands,Number of Islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",21
"Given an encoded string, return its decoded string. The encoding rule is: k[encoded_string], where the encoded_string inside the square brackets is being repeated exactly k times. Note that k is guaranteed to be a positive integer. You may assume that the input string is always valid; there are no extra white spaces, square brackets are well-formed, etc. Furthermore, you may assume that the original data does not contain any digits and that digits are only for those repeat numbers, k. For example, there will not be input like 3a or 2[4]. The test cases are generated so that the length of the output will never exceed 105.  ",decode-string,Decode String,"String, Stack, Recursion",19
"You are a product manager and currently leading a team to develop a new product. Unfortunately, the latest version of your product fails the quality check. Since each version is developed based on the previous version, all the versions after a bad version are also bad. Suppose you have n versions [1, 2, ..., n] and you want to find out the first bad one, which causes all the following ones to be bad. You are given an API bool isBadVersion(version) which returns whether version is bad. Implement a function to find the first bad version. You should minimize the number of calls to the API.  ",first-bad-version,First Bad Version,"Binary Search, Interactive",19
"There are several cards arranged in a row, and each card has an associated number of points. The points are given in the integer array cardPoints. In one step, you can take one card from the beginning or from the end of the row. You have to take exactly k cards. Your score is the sum of the points of the cards you have taken. Given the integer array cardPoints and the integer k, return the maximum score you can obtain.  ",maximum-points-you-can-obtain-from-cards,Maximum Points You Can Obtain from Cards,"Array, Sliding Window, Prefix Sum",17
"Given a string s and an array of strings words, return the number of words[i] that is a subsequence of s. A subsequence of a string is a new string generated from the original string with some characters (can be none) deleted without changing the relative order of the remaining characters.  For example, ""ace"" is a subsequence of ""abcde"".   ",number-of-matching-subsequences,Number of Matching Subsequences,"Hash Table, String, Trie, Sorting",15
"Given an array of integers nums and an integer k, return the total number of subarrays whose sum equals to k. A subarray is a contiguous non-empty sequence of elements within an array.  ",subarray-sum-equals-k,Subarray Sum Equals K,"Array, Hash Table, Prefix Sum",15
"There is a robot on an m x n grid. The robot is initially located at the top-left corner (i.e., grid[0][0]). The robot tries to move to the bottom-right corner (i.e., grid[m - 1][n - 1]). The robot can only move either down or right at any point in time. Given the two integers m and n, return the number of possible unique paths that the robot can take to reach the bottom-right corner. The test cases are generated so that the answer will be less than or equal to 2 * 109.  ",unique-paths,Unique Paths,"Math, Dynamic Programming, Combinatorics",15
"An integer array original is transformed into a doubled array changed by appending twice the value of every element in original, and then randomly shuffling the resulting array. Given an array changed, return original if changed is a doubled array. If changed is not a doubled array, return an empty array. The elements in original may be returned in any order.  ",find-original-array-from-doubled-array,Find Original Array From Doubled Array,"Array, Hash Table, Greedy, Sorting",14
"An attendance record for a student can be represented as a string where each character signifies whether the student was absent, late, or present on that day. The record only contains the following three characters:  'A': Absent. 'L': Late. 'P': Present.  Any student is eligible for an attendance award if they meet both of the following criteria:  The student was absent ('A') for strictly fewer than 2 days total. The student was never late ('L') for 3 or more consecutive days.  Given an integer n, return the number of possible attendance records of length n that make a student eligible for an attendance award. The answer may be very large, so return it modulo 109 + 7.  ",student-attendance-record-ii,Student Attendance Record II,Dynamic Programming,14
"Given two sorted arrays nums1 and nums2 of size m and n respectively, return the median of the two sorted arrays. The overall run time complexity should be O(log (m+n)).  ",median-of-two-sorted-arrays,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",14
"Given the root of a binary tree, return all duplicate subtrees. For each kind of duplicate subtrees, you only need to return the root node of any one of them. Two trees are duplicate if they have the same structure with the same node values.  ",find-duplicate-subtrees,Find Duplicate Subtrees,"Hash Table, Tree, Depth-First Search, Binary Tree",13
"Given a string s, find the length of the longest substring without repeating characters.  ",longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,"Hash Table, String, Sliding Window",13
"You are playing the Bulls and Cows game with your friend. You write down a secret number and ask your friend to guess what the number is. When your friend makes a guess, you provide a hint with the following info:  The number of ""bulls"", which are digits in the guess that are in the correct position. The number of ""cows"", which are digits in the guess that are in your secret number but are located in the wrong position. Specifically, the non-bull digits in the guess that could be rearranged such that they become bulls.  Given the secret number secret and your friend's guess guess, return the hint for your friend's guess. The hint should be formatted as ""xAyB"", where x is the number of bulls and y is the number of cows. Note that both secret and guess may contain duplicate digits.  ",bulls-and-cows,Bulls and Cows,"Hash Table, String, Counting",12
"Given a string s representing a valid expression, implement a basic calculator to evaluate it, and return the result of the evaluation. Note: You are not allowed to use any built-in function which evaluates strings as mathematical expressions, such as eval().  ",basic-calculator,Basic Calculator,"Math, String, Stack, Recursion",12
"You are given an array prices where prices[i] is the price of a given stock on the ith day. You want to maximize your profit by choosing a single day to buy one stock and choosing a different day in the future to sell that stock. Return the maximum profit you can achieve from this transaction. If you cannot achieve any profit, return 0.  ",best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",12
"Write a function to find the longest common prefix string amongst an array of strings. If there is no common prefix, return an empty string """".  ",longest-common-prefix,Longest Common Prefix,"String, Trie",12
"Given a string s, return the longest palindromic substring in s.  ",longest-palindromic-substring,Longest Palindromic Substring,"String, Dynamic Programming",12
"A company has n employees with a unique ID for each employee from 0 to n - 1. The head of the company is the one with headID. Each employee has one direct manager given in the manager array where manager[i] is the direct manager of the i-th employee, manager[headID] = -1. Also, it is guaranteed that the subordination relationships have a tree structure. The head of the company wants to inform all the company employees of an urgent piece of news. He will inform his direct subordinates, and they will inform their subordinates, and so on until all employees know about the urgent news. The i-th employee needs informTime[i] minutes to inform all of his direct subordinates (i.e., After informTime[i] minutes, all his direct subordinates can start spreading the news). Return the number of minutes needed to inform all the employees about the urgent news.  ",time-needed-to-inform-all-employees,Time Needed to Inform All Employees,"Tree, Depth-First Search, Breadth-First Search",11
"Tic-tac-toe is played by two players A and B on a 3 x 3 grid. The rules of Tic-Tac-Toe are:  Players take turns placing characters into empty squares ' '. The first player A always places 'X' characters, while the second player B always places 'O' characters. 'X' and 'O' characters are always placed into empty squares, never on filled ones. The game ends when there are three of the same (non-empty) character filling any row, column, or diagonal. The game also ends if all squares are non-empty. No more moves can be played if the game is over.  Given a 2D integer array moves where moves[i] = [rowi, coli] indicates that the ith move will be played on grid[rowi][coli]. return the winner of the game if it exists (A or B). In case the game ends in a draw return ""Draw"". If there are still movements to play return ""Pending"". You can assume that moves is valid (i.e., it follows the rules of Tic-Tac-Toe), the grid is initially empty, and A will play first.  ",find-winner-on-a-tic-tac-toe-game,Find Winner on a Tic Tac Toe Game,"Array, Hash Table, Matrix, Simulation",11
"There are a total of numCourses courses you have to take, labeled from 0 to numCourses - 1. You are given an array prerequisites where prerequisites[i] = [ai, bi] indicates that you must take course bi first if you want to take course ai.  For example, the pair [0, 1], indicates that to take course 0 you have to first take course 1.  Return the ordering of courses you should take to finish all courses. If there are many valid answers, return any of them. If it is impossible to finish all courses, return an empty array.  ",course-schedule-ii,Course Schedule II,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",11
"You are given an array of non-overlapping intervals intervals where intervals[i] = [starti, endi] represent the start and the end of the ith interval and intervals is sorted in ascending order by starti. You are also given an interval newInterval = [start, end] that represents the start and end of another interval. Insert newInterval into intervals such that intervals is still sorted in ascending order by starti and intervals still does not have any overlapping intervals (merge overlapping intervals if necessary). Return intervals after the insertion.  ",insert-interval,Insert Interval,Array,11
"Given an integer array nums, find the subarray with the largest sum, and return its sum.  ",maximum-subarray,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",11
"Given an integer x, return true if x is a palindrome, and false otherwise.  ",palindrome-number,Palindrome Number,Math,11
"Given an m x n matrix board where each cell is a battleship 'X' or empty '.', return the number of the battleships on board. Battleships can only be placed horizontally or vertically on board. In other words, they can only be made of the shape 1 x k (1 row, k columns) or k x 1 (k rows, 1 column), where k can be of any size. At least one horizontal or vertical cell separates between two battleships (i.e., there are no adjacent battleships).  ",battleships-in-a-board,Battleships in a Board,"Array, Depth-First Search, Matrix",10
"There is an m x n rectangular island that borders both the Pacific Ocean and Atlantic Ocean. The Pacific Ocean touches the island's left and top edges, and the Atlantic Ocean touches the island's right and bottom edges. The island is partitioned into a grid of square cells. You are given an m x n integer matrix heights where heights[r][c] represents the height above sea level of the cell at coordinate (r, c). The island receives a lot of rain, and the rain water can flow to neighboring cells directly north, south, east, and west if the neighboring cell's height is less than or equal to the current cell's height. Water can flow from any cell adjacent to an ocean into the ocean. Return a 2D list of grid coordinates result where result[i] = [ri, ci] denotes that rain water can flow from cell (ri, ci) to both the Pacific and Atlantic oceans.  ",pacific-atlantic-water-flow,Pacific Atlantic Water Flow,"Array, Depth-First Search, Breadth-First Search, Matrix",10
"You are given two non-empty linked lists representing two non-negative integers. The digits are stored in reverse order, and each of their nodes contains a single digit. Add the two numbers and return the sum as a linked list. You may assume the two numbers do not contain any leading zero, except the number 0 itself.  ",add-two-numbers,Add Two Numbers,"Linked List, Math, Recursion",10
"You are given an m x n binary matrix grid. An island is a group of 1's (representing land) connected 4-directionally (horizontal or vertical.) You may assume all four edges of the grid are surrounded by water. The area of an island is the number of cells with a value 1 in the island. Return the maximum area of an island in grid. If there is no island, return 0.  ",max-area-of-island,Max Area of Island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",9
"Given an array of integers citations where citations[i] is the number of citations a researcher received for their ith paper, return the researcher's h-index. According to the definition of h-index on Wikipedia: The h-index is defined as the maximum value of h such that the given researcher has published at least h papers that have each been cited at least h times.  ",h-index,H-Index,"Array, Sorting, Counting Sort",9
"You are a professional robber planning to rob houses along a street. Each house has a certain amount of money stashed. All houses at this place are arranged in a circle. That means the first house is the neighbor of the last one. Meanwhile, adjacent houses have a security system connected, and it will automatically contact the police if two adjacent houses were broken into on the same night. Given an integer array nums representing the amount of money of each house, return the maximum amount of money you can rob tonight without alerting the police.  ",house-robber-ii,House Robber II,"Array, Dynamic Programming",9
"A trie (pronounced as ""try"") or prefix tree is a tree data structure used to efficiently store and retrieve keys in a dataset of strings. There are various applications of this data structure, such as autocomplete and spellchecker. Implement the Trie class:  Trie() Initializes the trie object. void insert(String word) Inserts the string word into the trie. boolean search(String word) Returns true if the string word is in the trie (i.e., was inserted before), and false otherwise. boolean startsWith(String prefix) Returns true if there is a previously inserted string word that has the prefix prefix, and false otherwise.   ",implement-trie-prefix-tree,Implement Trie (Prefix Tree),"Hash Table, String, Design, Trie",9
"Design a data structure that follows the constraints of a Least Recently Used (LRU) cache. Implement the LRUCache class:  LRUCache(int capacity) Initialize the LRU cache with positive size capacity. int get(int key) Return the value of the key if the key exists, otherwise return -1. void put(int key, int value) Update the value of the key if the key exists. Otherwise, add the key-value pair to the cache. If the number of keys exceeds the capacity from this operation, evict the least recently used key.  The functions get and put must each run in O(1) average time complexity.  ",lru-cache,LRU Cache,"Hash Table, Linked List, Design, Doubly-Linked List",9
"Given an input string s and a pattern p, implement regular expression matching with support for '.' and '*' where:  '.' Matches any single character.​​​​ '*' Matches zero or more of the preceding element.  The matching should cover the entire input string (not partial).  ",regular-expression-matching,Regular Expression Matching,"String, Dynamic Programming, Recursion",9
"Given a m * n matrix of ones and zeros, return how many square submatrices have all ones.  ",count-square-submatrices-with-all-ones,Count Square Submatrices with All Ones,"Array, Dynamic Programming, Matrix",8
"You are given a network of n nodes, labeled from 1 to n. You are also given times, a list of travel times as directed edges times[i] = (ui, vi, wi), where ui is the source node, vi is the target node, and wi is the time it takes for a signal to travel from source to target. We will send a signal from a given node k. Return the minimum time it takes for all the n nodes to receive the signal. If it is impossible for all the n nodes to receive the signal, return -1.  ",network-delay-time,Network Delay Time,"Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path",8
"Given an integer array nums and an integer k, split nums into k non-empty subarrays such that the largest sum of any subarray is minimized. Return the minimized largest sum of the split. A subarray is a contiguous part of the array.  ",split-array-largest-sum,Split Array Largest Sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum",8
"You are given an array of variable pairs equations and an array of real numbers values, where equations[i] = [Ai, Bi] and values[i] represent the equation Ai / Bi = values[i]. Each Ai or Bi is a string that represents a single variable. You are also given some queries, where queries[j] = [Cj, Dj] represents the jth query where you must find the answer for Cj / Dj = ?. Return the answers to all queries. If a single answer cannot be determined, return -1.0. Note: The input is always valid. You may assume that evaluating the queries will not result in division by zero and that there is no contradiction.  ",evaluate-division,Evaluate Division,"Array, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path",8
"Given an integer array nums and an integer k, return the k most frequent elements. You may return the answer in any order.  ",top-k-frequent-elements,Top K Frequent Elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect",8
"Design an iterator that supports the peek operation on an existing iterator in addition to the hasNext and the next operations. Implement the PeekingIterator class:  PeekingIterator(Iterator<int> nums) Initializes the object with the given integer iterator iterator. int next() Returns the next element in the array and moves the pointer to the next element. boolean hasNext() Returns true if there are still elements in the array. int peek() Returns the next element in the array without moving the pointer.  Note: Each language may have a different implementation of the constructor and Iterator, but they all support the int next() and boolean hasNext() functions.  ",peeking-iterator,Peeking Iterator,"Array, Design, Iterator",8
"You are given an array of integers nums, there is a sliding window of size k which is moving from the very left of the array to the very right. You can only see the k numbers in the window. Each time the sliding window moves right by one position. Return the max sliding window.  ",sliding-window-maximum,Sliding Window Maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue",8
"Given a binary tree, find the lowest common ancestor (LCA) of two given nodes in the tree. According to the definition of LCA on Wikipedia: “The lowest common ancestor is defined between two nodes p and q as the lowest node in T that has both p and q as descendants (where we allow a node to be a descendant of itself).”  ",lowest-common-ancestor-of-a-binary-tree,Lowest Common Ancestor of a Binary Tree,"Tree, Depth-First Search, Binary Tree",8
"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in the sorted order, not the kth distinct element. You must solve it in O(n) time complexity.  ",kth-largest-element-in-an-array,Kth Largest Element in an Array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",8
"A message containing letters from A-Z can be encoded into numbers using the following mapping:  'A' -> ""1"" 'B' -> ""2"" ... 'Z' -> ""26""  To decode an encoded message, all the digits must be grouped then mapped back into letters using the reverse of the mapping above (there may be multiple ways). For example, ""11106"" can be mapped into:  ""AAJF"" with the grouping (1 1 10 6) ""KJF"" with the grouping (11 10 6)  Note that the grouping (1 11 06) is invalid because ""06"" cannot be mapped into 'F' since ""6"" is different from ""06"". Given a string s containing only digits, return the number of ways to decode it. The test cases are generated so that the answer fits in a 32-bit integer.  ",decode-ways,Decode Ways,"String, Dynamic Programming",8
"Given an m x n matrix, return all elements of the matrix in spiral order.  ",spiral-matrix,Spiral Matrix,"Array, Matrix, Simulation",8
"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.  ",trapping-rain-water,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",8
"You are given an array of k linked-lists lists, each linked-list is sorted in ascending order. Merge all the linked-lists into one sorted linked-list and return it.  ",merge-k-sorted-lists,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort",8
"Given an integer array nums, return all the triplets [nums[i], nums[j], nums[k]] such that i != j, i != k, and j != k, and nums[i] + nums[j] + nums[k] == 0. Notice that the solution set must not contain duplicate triplets.  ",3sum,3Sum,"Array, Two Pointers, Sorting",8
"Design an algorithm that accepts a stream of integers and retrieves the product of the last k integers of the stream. Implement the ProductOfNumbers class:  ProductOfNumbers() Initializes the object with an empty stream. void add(int num) Appends the integer num to the stream. int getProduct(int k) Returns the product of the last k numbers in the current list. You can assume that always the current list has at least k numbers.  The test cases are generated so that, at any time, the product of any contiguous sequence of numbers will fit into a single 32-bit integer without overflowing.  ",product-of-the-last-k-numbers,Product of the Last K Numbers,"Array, Math, Design, Queue, Data Stream",7
"Given an array of strings words and an integer k, return the k most frequent strings. Return the answer sorted by the frequency from highest to lowest. Sort the words with the same frequency by their lexicographical order.  ",top-k-frequent-words,Top K Frequent Words,"Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting",7
You are given a string s and an integer k. You can choose any character of the string and change it to any other uppercase English character. You can perform this operation at most k times. Return the length of the longest substring containing the same letter you can get after performing the above operations.  ,longest-repeating-character-replacement,Longest Repeating Character Replacement,"Hash Table, String, Sliding Window",7
"Suppose we have a file system that stores both files and directories. An example of one system is represented in the following picture:  Here, we have dir as the only directory in the root. dir contains two subdirectories, subdir1 and subdir2. subdir1 contains a file file1.ext and subdirectory subsubdir1. subdir2 contains a subdirectory subsubdir2, which contains a file file2.ext. In text form, it looks like this (with ⟶ representing the tab character):  dir ⟶ subdir1 ⟶ ⟶ file1.ext ⟶ ⟶ subsubdir1 ⟶ subdir2 ⟶ ⟶ subsubdir2 ⟶ ⟶ ⟶ file2.ext  If we were to write this representation in code, it will look like this: ""dir\n\tsubdir1\n\t\tfile1.ext\n\t\tsubsubdir1\n\tsubdir2\n\t\tsubsubdir2\n\t\t\tfile2.ext"". Note that the '\n' and '\t' are the new-line and tab characters. Every file and directory has a unique absolute path in the file system, which is the order of directories that must be opened to reach the file/directory itself, all concatenated by '/'s. Using the above example, the absolute path to file2.ext is ""dir/subdir2/subsubdir2/file2.ext"". Each directory name consists of letters, digits, and/or spaces. Each file name is of the form name.extension, where name and extension consist of letters, digits, and/or spaces. Given a string input representing the file system in the explained format, return the length of the longest absolute path to a file in the abstracted file system. If there is no file in the system, return 0. Note that the testcases are generated such that the file system is valid and no file or directory name has length 0.  ",longest-absolute-file-path,Longest Absolute File Path,"String, Stack, Depth-First Search",7
"You are given a 2D array of integers envelopes where envelopes[i] = [wi, hi] represents the width and the height of an envelope. One envelope can fit into another if and only if both the width and height of one envelope are greater than the other envelope's width and height. Return the maximum number of envelopes you can Russian doll (i.e., put one inside the other). Note: You cannot rotate an envelope.  ",russian-doll-envelopes,Russian Doll Envelopes,"Array, Binary Search, Dynamic Programming, Sorting",7
"You are given n balloons, indexed from 0 to n - 1. Each balloon is painted with a number on it represented by an array nums. You are asked to burst all the balloons. If you burst the ith balloon, you will get nums[i - 1] * nums[i] * nums[i + 1] coins. If i - 1 or i + 1 goes out of bounds of the array, then treat it as if there is a balloon with a 1 painted on it. Return the maximum coins you can collect by bursting the balloons wisely.  ",burst-balloons,Burst Balloons,"Array, Dynamic Programming",7
"Given the root of a complete binary tree, return the number of the nodes in the tree. According to Wikipedia, every level, except possibly the last, is completely filled in a complete binary tree, and all nodes in the last level are as far left as possible. It can have between 1 and 2h nodes inclusive at the last level h. Design an algorithm that runs in less than O(n) time complexity.  ",count-complete-tree-nodes,Count Complete Tree Nodes,"Binary Search, Tree, Depth-First Search, Binary Tree",7
"You are a professional robber planning to rob houses along a street. Each house has a certain amount of money stashed, the only constraint stopping you from robbing each of them is that adjacent houses have security systems connected and it will automatically contact the police if two adjacent houses were broken into on the same night. Given an integer array nums representing the amount of money of each house, return the maximum amount of money you can rob tonight without alerting the police.  ",house-robber,House Robber,"Array, Dynamic Programming",7
"A peak element is an element that is strictly greater than its neighbors. Given a 0-indexed integer array nums, find a peak element, and return its index. If the array contains multiple peaks, return the index to any of the peaks. You may imagine that nums[-1] = nums[n] = -∞. In other words, an element is always considered to be strictly greater than a neighbor that is outside the array. You must write an algorithm that runs in O(log n) time.  ",find-peak-element,Find Peak Element,"Array, Binary Search",7
"Given an unsorted array of integers nums, return the length of the longest consecutive elements sequence. You must write an algorithm that runs in O(n) time.  ",longest-consecutive-sequence,Longest Consecutive Sequence,"Array, Hash Table, Union Find",7
"Given an integer array nums of unique elements, return all possible subsets (the power set). The solution set must not contain duplicate subsets. Return the solution in any order.  ",subsets,Subsets,"Array, Backtracking, Bit Manipulation",7
"There are n rings and each ring is either red, green, or blue. The rings are distributed across ten rods labeled from 0 to 9. You are given a string rings of length 2n that describes the n rings that are placed onto the rods. Every two characters in rings forms a color-position pair that is used to describe each ring where:  The first character of the ith pair denotes the ith ring's color ('R', 'G', 'B'). The second character of the ith pair denotes the rod that the ith ring is placed on ('0' to '9').  For example, ""R3G2B1"" describes n == 3 rings: a red ring placed onto the rod labeled 3, a green ring placed onto the rod labeled 2, and a blue ring placed onto the rod labeled 1. Return the number of rods that have all three colors of rings on them.  ",rings-and-rods,Rings and Rods,"Hash Table, String",6
"Given the root of a binary tree, each node in the tree has a distinct value. After deleting all nodes with a value in to_delete, we are left with a forest (a disjoint union of trees). Return the roots of the trees in the remaining forest. You may return the result in any order.  ",delete-nodes-and-return-forest,Delete Nodes And Return Forest,"Tree, Depth-First Search, Binary Tree",6
"Given an array of strings words representing an English Dictionary, return the longest word in words that can be built one character at a time by other words in words. If there is more than one possible answer, return the longest word with the smallest lexicographical order. If there is no answer, return the empty string. Note that the word should be built from left to right with each additional character being added to the end of a previous word.   ",longest-word-in-dictionary,Longest Word in Dictionary,"Array, Hash Table, String, Trie, Sorting",6
"You have a data structure of employee information, including the employee's unique ID, importance value, and direct subordinates' IDs. You are given an array of employees employees where:  employees[i].id is the ID of the ith employee. employees[i].importance is the importance value of the ith employee. employees[i].subordinates is a list of the IDs of the direct subordinates of the ith employee.  Given an integer id that represents an employee's ID, return the total importance value of this employee and all their direct and indirect subordinates.  ",employee-importance,Employee Importance,"Hash Table, Depth-First Search, Breadth-First Search",6
"Given an m x n binary matrix mat, return the distance of the nearest 0 for each cell. The distance between two adjacent cells is 1.  ",01-matrix,01 Matrix,"Array, Dynamic Programming, Breadth-First Search, Matrix",6
You are given two strings s and t. String t is generated by random shuffling string s and then add one more letter at a random position. Return the letter that was added to t.  ,find-the-difference,Find the Difference,"Hash Table, String, Bit Manipulation, Sorting",6
"Given an integer array nums, return an integer array counts where counts[i] is the number of smaller elements to the right of nums[i].  ",count-of-smaller-numbers-after-self,Count of Smaller Numbers After Self,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set",6
"Given an integer array nums, handle multiple queries of the following types:  Update the value of an element in nums. Calculate the sum of the elements of nums between indices left and right inclusive where left <= right.  Implement the NumArray class:  NumArray(int[] nums) Initializes the object with the integer array nums. void update(int index, int val) Updates the value of nums[index] to be val. int sumRange(int left, int right) Returns the sum of the elements of nums between indices left and right inclusive (i.e. nums[left] + nums[left + 1] + ... + nums[right]).   ",range-sum-query-mutable,Range Sum Query - Mutable,"Array, Design, Binary Indexed Tree, Segment Tree",6
"Given an integer array nums, return true if any value appears at least twice in the array, and return false if every element is distinct.  ",contains-duplicate,Contains Duplicate,"Array, Hash Table, Sorting",6
"A path in a binary tree is a sequence of nodes where each pair of adjacent nodes in the sequence has an edge connecting them. A node can only appear in the sequence at most once. Note that the path does not need to pass through the root. The path sum of a path is the sum of the node's values in the path. Given the root of a binary tree, return the maximum path sum of any non-empty path.  ",binary-tree-maximum-path-sum,Binary Tree Maximum Path Sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree",6
"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if:  Open brackets must be closed by the same type of brackets. Open brackets must be closed in the correct order. Every close bracket has a corresponding open bracket of the same type.   ",valid-parentheses,Valid Parentheses,"String, Stack",6
